Name,Type
Bourgignon Noir,Red
Bourgoignon Noir,Red
Bourguignon Gros,Red
Bourguignon Noir,Red
Bourguignon Petit,Red
Bruenlaeubler,Red
Burgunda,Red
Burgundac Cernii,Red
Burgundac Crni,Red
Burgundac Crni Pozni,Red
Burgunder,Red
Burgunder Blau,Red
Burgunder Blauer,Red
Burgunder Grosse Blaue,Red
Burgunder Kleine Blaue,Red
Burgunder Roter,Red
Burgunder Schwarz,Red
Burgundi Crni,Red
Burgundi Mic,Red
Burgundske Modre,Red
Cerna Okrugla,Red
Cerna Okrugta Banka,Red
Cerna Ranka,Red
Chambertin,Red
Champagner,Red
Cherna,Red
Chiavenase,Red
Chiavenna,Red
Chpatchok,Red
Claevner,Red
Claevner Blau,Red
Claevner Schwarz,Red
Clavensis,Red
Clevner,Red
Cortaillod,Red
Derice Auvernas Noir,Red
Dickblau,Red
Echter Schwarzblauer Klevner,Red
Elsasser Rot,Red
Elsasser Rother,Red
Fin Noir,Red
Fin Noir De Toulon,Red
Fin Plant Dore,Red
Formentin Noir,Red
Fraenkische Schwarze,Red
Franc Noiren,Red
Franc Noirien,Red
Franc Pineau,Red
Franc Pinot,Red
Francois Noir,Red
Frischschwarzer,Red
Fruehblaue,Red
Fruehblauer,Red
Fruehschwarzer,Red
Fruhblauer,Red
Gamais,Red
Genetin De St Menin,Red
Gentil Noir,Red
Glaevinger,Red
Glasschwarz,Red
Gribalet Noir,Red
Grobes Suesschwarz,Red
Grosse Burgunder,Red
Grosse Fruehschwarze,Red
Gut Blau,Red
Gutblau,Red
Jakabszoeloe,Red
Karapino,Red
Kek Burgundi,Red
Kek Kisburgundi,Red
Kek Klevner,Red
Kek Rulandi,Red
Kis Burgundi,Red
Kis Burgundikek,Red
Kisburgundi Kek,Red
Kisburgundikek,Red
Klaevner,Red
Klaevner Schwarz,Red
Klebrot,Red
Klebroth,Red
Klebrott,Red
Kleine Burgunder,Red
Kleiner Burgunder,Red
Kleinrot,Red
Kleinroth,Red
Klevinger,Red
Klevner,Red
Klevner Kek,Red
Klevner Schwarzblau,Red
Korai Kekburgundi,Red
Langedet,Red
Maehrchen,Red
Malterdinger,Red
Maltertinger,Red
Maria Feld,Red
Marillon N,Red
Massoutel,Red
Massoutet,Red
Maurillon,Red
Mensois,Red
Modra Burgunda,Red
Modra Klevanja,Red
Modra Klevanjka,Red
Modra Klevanyka,Red
Modri Pinot,Red
Moehrchen,Red
Mohrenkoenigin,Red
Mohrenkoenigin Fruehblaue,Red
Mor Burgunder,Red
Moreote Noir,Red
Moreotische Traube,Red
Morillon,Red
Morillon Noir,Red
